,比赛,时间,主队,比分,客队
0,非洲预选,2017-11-12 23:30,加纳,1-1,埃及
1,非洲预选,2017-10-09 01:00,埃及,2-1,刚果
2,非洲预选,2017-09-06 02:00,埃及,1-0,乌干达
3,非洲预选,2017-08-31 21:00,乌干达,1-0,埃及
4,非国锦标,2017-08-19 03:00,摩洛哥,3-1,埃及
5,非国锦标,2017-08-14 01:00,埃及,1-1,摩洛哥
6,非洲杯,2017-06-12 06:00,突尼斯,1-0,埃及
7,国际友谊,2017-05-13 23:00,埃及,1-0,也门
8,国际友谊,2017-03-28 23:59,埃及,3-0,多哥
9,非洲杯,2017-02-06 03:00,埃及,1-2,喀麦隆
10,非洲杯,2017-02-02 03:00,布基纳法索,1-1,埃及
11,非洲杯,2017-01-30 03:00,埃及,1-0,摩洛哥
12,非洲杯,2017-01-26 03:00,埃及,1-0,加纳
13,非洲杯,2017-01-22 03:00,埃及,1-0,乌干达
14,非洲杯,2017-01-18 03:00,马里,0-0,埃及
15,国际友谊,2017-01-08 23:59,埃及,1-0,突尼斯
16,非洲预选,2016-11-13 23:59,埃及,2-0,加纳
17,非洲预选,2016-10-09 22:30,刚果,1-2,埃及
18,国际友谊,2016-09-07 01:00,南非,1-0,埃及
19,国际友谊,2016-08-31 02:30,埃及,1-1,几内亚
20,非洲杯,2016-06-04 21:00,坦桑尼亚,0-2,埃及
21,非洲杯,2016-03-30 01:00,埃及,1-0,尼日利亚
22,非洲杯,2016-03-25 23:59,尼日利亚,1-1,埃及
23,球会友谊,2016-02-27 23:59,埃及,2-0,布基纳法索
24,非洲预选,2015-11-18 00:30,埃及,4-0,乍得
25,非洲预选,2015-11-14 22:30,乍得,1-0,埃及
26,国际友谊,2015-10-12 01:00,埃及,3-0,赞比亚
27,非洲杯,2015-06-15 01:00,埃及,3-0,坦桑尼亚
28,国际友谊,2015-06-08 23:59,埃及,2-1,马拉维
29,国际友谊,2015-03-26 23:59,埃及,2-0,赤道几内亚
30,非洲杯,2014-11-20 03:00,突尼斯,2-1,埃及
31,非洲杯,2014-11-16 01:00,埃及,0-1,塞内加尔
32,非洲杯,2014-10-16 01:00,埃及,2-0,博茨瓦纳
33,非洲杯,2014-10-11 00:30,博茨瓦纳,0-2,埃及
34,非洲杯,2014-09-11 02:00,埃及,0-1,突尼斯
35,非洲杯,2014-09-06 04:00,塞内加尔,2-0,埃及
36,国际友谊,2014-06-05 03:00,牙买加,2-2,埃及
37,国际友谊,2014-05-31 08:40,智利,3-2,埃及
38,国际友谊,2014-03-06 01:30,波黑,0-2,埃及
39,球会友谊,2013-01-11 01:00,加纳,3-0,埃及
40,球会友谊,2011-11-15 01:00,巴西,2-0,埃及
41,国际友谊,2017-11-15 02:45,俄罗斯,3-3,西班牙
42,国际友谊,2017-11-11 21:00,俄罗斯,0-1,阿根廷
43,国际友谊,2017-10-10 23:59,俄罗斯,1-1,伊朗
44,国际友谊,2017-10-07 22:00,俄罗斯,4-2,韩国
45,球会友谊,2017-09-03 22:30,俄罗斯,3-0,莫斯科迪纳摩
46,洲际杯,2017-06-24 23:00,俄罗斯,1-2,墨西哥
47,洲际杯,2017-06-21 23:00,俄罗斯,0-1,葡萄牙
48,洲际杯,2017-06-17 23:00,俄罗斯,2-0,新西兰
49,国际友谊,2017-06-09 23:59,俄罗斯,1-1,智利
50,国际友谊,2017-06-06 02:30,匈牙利,0-3,俄罗斯
51,国际友谊,2017-03-28 23:59,俄罗斯,3-3,比利时
52,国际友谊,2017-03-24 23:59,俄罗斯,0-2,科特迪瓦
53,国际友谊,2016-11-15 23:59,俄罗斯,1-0,罗马尼亚
54,国际友谊,2016-11-10 23:59,卡塔尔,2-1,俄罗斯
55,国际友谊,2016-10-09 21:00,俄罗斯,3-4,哥斯达黎加
56,国际友谊,2016-09-06 23:59,俄罗斯,1-0,加纳
57,国际友谊,2016-09-01 02:30,土耳其,0-0,俄罗斯
58,欧洲杯,2016-06-21 03:00,俄罗斯,0-3,威尔士
59,欧洲杯,2016-06-15 21:00,俄罗斯,1-2,斯洛伐克
60,欧洲杯,2016-06-12 03:00,英格兰,1-1,俄罗斯
61,国际友谊,2016-06-05 23:59,塞尔维亚,1-1,俄罗斯
62,国际友谊,2016-06-01 23:59,捷克,2-1,俄罗斯
63,国际友谊,2016-03-30 03:00,法国,4-2,俄罗斯
64,国际友谊,2016-03-26 23:59,俄罗斯,3-0,立陶宛
65,国际友谊,2015-11-17 23:59,俄罗斯,1-3,克罗地亚
66,国际友谊,2015-11-14 22:00,俄罗斯,1-0,葡萄牙
67,欧洲杯,2015-10-12 23:59,俄罗斯,2-0,黑山
68,欧洲杯,2015-10-10 02:45,摩尔多瓦,1-2,俄罗斯
69,欧洲杯,2015-09-09 02:45,列支敦士登,0-7,俄罗斯
70,欧洲杯,2015-09-05 23:59,俄罗斯,1-0,瑞典
71,欧洲杯,2015-06-14 23:59,俄罗斯,0-1,奥地利
72,国际友谊,2015-06-07 23:00,俄罗斯,4-2,白俄罗斯
73,国际友谊,2015-04-01 01:00,俄罗斯,0-0,哈萨克斯坦
74,欧洲杯,2015-03-28 03:45,黑山,0-3,俄罗斯
75,国际友谊,2014-11-19 03:30,匈牙利,1-2,俄罗斯
76,欧洲杯,2014-11-16 01:00,奥地利,1-0,俄罗斯
77,欧洲杯,2014-10-12 23:59,俄罗斯,1-1,摩尔多瓦
78,欧洲杯,2014-10-10 02:45,瑞典,1-1,俄罗斯
79,欧洲杯,2014-09-08 23:59,俄罗斯,4-0,列支敦士登
80,国际友谊,2014-09-03 23:00,俄罗斯,4-0,阿塞拜疆
81,世界杯,2014-06-27 04:00,阿尔及利亚,1-1,俄罗斯
82,世界杯,2014-06-23 00:00,比利时,1-0,俄罗斯
83,世界杯,2014-06-18 06:00,俄罗斯,1-1,韩国
84,国际友谊,2014-06-06 22:00,俄罗斯,2-0,摩洛哥
85,国际友谊,2014-05-31 22:00,挪威,1-1,俄罗斯
86,国际友谊,2014-05-26 22:00,俄罗斯,1-0,斯洛伐克
87,球会友谊,2014-03-05 22:00,俄罗斯,2-0,阿美尼亚
88,球会友谊,2013-11-19 22:00,俄罗斯,2-1,韩国
89,球会友谊,2013-11-16 00:30,俄罗斯,1-1,塞尔维亚
90,欧洲预选,2013-10-16 01:00,阿塞拜疆,1-1,俄罗斯
91,欧洲预选,2013-10-12 02:30,卢森堡,0-4,俄罗斯
92,欧洲预选,2013-09-10 23:00,俄罗斯,3-1,以色列
93,欧洲预选,2013-09-06 23:30,俄罗斯,4-1,卢森堡
94,欧洲预选,2013-08-15 02:45,北爱尔兰,1-0,俄罗斯
95,欧洲预选,2013-06-08 03:45,葡萄牙,1-0,俄罗斯
96,球会友谊,2013-03-26 03:30,巴西,1-1,俄罗斯
97,球会友谊,2012-11-14 23:00,俄罗斯,2-2,美国
98,欧洲预选,2012-10-16 23:00,俄罗斯,1-0,阿塞拜疆
99,欧洲预选,2012-10-12 23:00,俄罗斯,1-0,葡萄牙
100,欧洲预选,2012-09-12 01:00,以色列,0-4,俄罗斯
101,欧洲预选,2012-09-07 23:00,俄罗斯,2-0,北爱尔兰
102,球会友谊,2012-08-15 23:00,俄罗斯,1-1,科特迪瓦
103,欧洲杯,2012-06-17 02:45,希腊,1-0,俄罗斯
104,欧洲杯,2012-06-13 02:45,波兰,1-1,俄罗斯
105,欧洲杯,2012-06-09 02:45,俄罗斯,4-1,捷克
106,球会友谊,2012-06-02 02:45,意大利,0-3,俄罗斯
107,球会友谊,2012-05-30 01:45,立陶宛,0-0,俄罗斯
108,球会友谊,2012-05-26 00:45,俄罗斯,1-1,乌拉圭
109,球会友谊,2012-03-01 02:45,丹麦,0-2,俄罗斯
110,欧洲杯,2011-10-12 01:45,俄罗斯,6-0,安道尔
111,欧洲杯,2011-10-08 02:15,斯洛伐克,0-1,俄罗斯
112,欧洲杯,2011-09-06 23:00,俄罗斯,0-0,爱尔兰
113,欧洲杯,2011-09-02 23:59,俄罗斯,1-0,马其顿
114,国际友谊,2017-11-15 03:45,奥地利,2-1,乌拉圭
115,国际友谊,2017-11-11 03:45,波兰,0-0,乌拉圭
116,南美预选,2017-10-11 07:30,乌拉圭,4-2,玻利维亚
117,南美预选,2017-10-06 05:00,委内瑞拉,0-0,乌拉圭
118,南美预选,2017-09-06 08:00,巴拉圭,1-2,乌拉圭
119,南美预选,2017-09-01 07:00,乌拉圭,0-0,阿根廷
120,国际友谊,2017-06-08 02:45,意大利,3-0,乌拉圭
121,国际友谊,2017-06-05 01:00,爱尔兰,3-1,乌拉圭
122,南美预选,2017-03-29 10:15,秘鲁,2-1,乌拉圭
123,南美预选,2017-03-24 07:00,乌拉圭,1-4,巴西
124,南美预选,2016-11-16 07:30,智利,3-1,乌拉圭
125,南美预选,2016-11-11 07:00,乌拉圭,2-1,厄瓜多尔
126,南美预选,2016-10-12 04:30,哥伦比亚,2-2,乌拉圭
127,南美预选,2016-10-07 07:00,乌拉圭,3-0,委内瑞拉
128,南美预选,2016-09-07 07:00,乌拉圭,4-0,巴拉圭
129,南美预选,2016-09-02 07:30,阿根廷,1-0,乌拉圭
130,美洲杯,2016-06-14 10:20,乌拉圭,3-0,牙买加
131,美洲杯,2016-06-10 07:30,乌拉圭,0-1,委内瑞拉
