粉丝名, 粉丝ID, 粉丝数, 主页链接, 
x251463545 , 977151, 27, http://ba2.win007.com/user/perinfo?userid=977151, 
垮了 , 953922, 13, http://ba2.win007.com/user/perinfo?userid=953922, 
zorro7577 , 1166922, 13, http://ba2.win007.com/user/perinfo?userid=1166922, 
linx , 1164796, 17, http://ba2.win007.com/user/perinfo?userid=1164796, 
liming1973 , 991608, 10, http://ba2.win007.com/user/perinfo?userid=991608, 
Frederika , 978868, 15, http://ba2.win007.com/user/perinfo?userid=978868, 
左岸之觞 , 1144781, 11, http://ba2.win007.com/user/perinfo?userid=1144781, 
沙之守候 , 1084025, 7, http://ba2.win007.com/user/perinfo?userid=1084025, 
1909363619 , 1163534, 16, http://ba2.win007.com/user/perinfo?userid=1163534, 
道法真理 , 1170330, 9, http://ba2.win007.com/user/perinfo?userid=1170330, 
上官紫云 , 1166255, 8, http://ba2.win007.com/user/perinfo?userid=1166255, 
kuang9394 , 809046, 7, http://ba2.win007.com/user/perinfo?userid=809046, 
翊子羽 , 1078860, 8, http://ba2.win007.com/user/perinfo?userid=1078860, 
6631467 , 1081248, 7, http://ba2.win007.com/user/perinfo?userid=1081248, 
juno66 , 958345, 7, http://ba2.win007.com/user/perinfo?userid=958345, 
Lizhaofeng , 1124772, 6, http://ba2.win007.com/user/perinfo?userid=1124772, 
ceeg , 1101302, 23, http://ba2.win007.com/user/perinfo?userid=1101302, 
年轻人哈哈 , 1174062, 7, http://ba2.win007.com/user/perinfo?userid=1174062, 
dryven , 904338, 25, http://ba2.win007.com/user/perinfo?userid=904338, 
wangdezhu , 1158150, 5, http://ba2.win007.com/user/perinfo?userid=1158150, 
三品人 , 857293, 8, http://ba2.win007.com/user/perinfo?userid=857293, 
nococo125 , 1160274, 5, http://ba2.win007.com/user/perinfo?userid=1160274, 
352727492 , 1021752, 5, http://ba2.win007.com/user/perinfo?userid=1021752, 
WeCan , 977276, 5, http://ba2.win007.com/user/perinfo?userid=977276, 
YDBP68 , 1078009, 6, http://ba2.win007.com/user/perinfo?userid=1078009, 
小小试牛刀 , 1152504, 58, http://ba2.win007.com/user/perinfo?userid=1152504, 
聪聪的聪 , 1167487, 6, http://ba2.win007.com/user/perinfo?userid=1167487, 
henryyi , 1124569, 8, http://ba2.win007.com/user/perinfo?userid=1124569, 
hijackko , 852442, 8, http://ba2.win007.com/user/perinfo?userid=852442, 
板桥霜 , 1115103, 7, http://ba2.win007.com/user/perinfo?userid=1115103, 
linxinru , 1153068, 6, http://ba2.win007.com/user/perinfo?userid=1153068, 
e8jiale , 847487, 6, http://ba2.win007.com/user/perinfo?userid=847487, 
liurunjie1 , 1096876, 5, http://ba2.win007.com/user/perinfo?userid=1096876, 
再中两次 , 926050, 6, http://ba2.win007.com/user/perinfo?userid=926050, 
多多灿灿 , 1011082, 8, http://ba2.win007.com/user/perinfo?userid=1011082, 
660088 , 1180412, 6, http://ba2.win007.com/user/perinfo?userid=1180412, 
jeanna , 1167102, 9, http://ba2.win007.com/user/perinfo?userid=1167102, 
有我就好 , 1174355, 6, http://ba2.win007.com/user/perinfo?userid=1174355, 
ct7228393 , 1177789, 8, http://ba2.win007.com/user/perinfo?userid=1177789, 
Jacky仔 , 948287, 9, http://ba2.win007.com/user/perinfo?userid=948287, 
九牧王988 , 1180556, 6, http://ba2.win007.com/user/perinfo?userid=1180556, 
寂寞的快播 , 1163985, 5, http://ba2.win007.com/user/perinfo?userid=1163985, 
cjhl849 , 1029864, 8, http://ba2.win007.com/user/perinfo?userid=1029864, 
wcs669444 , 1072445, 6, http://ba2.win007.com/user/perinfo?userid=1072445, 
陈爱情 , 1176260, 7, http://ba2.win007.com/user/perinfo?userid=1176260, 
tanyaolin , 1002364, 7, http://ba2.win007.com/user/perinfo?userid=1002364, 
jy0224 , 1175747, 7, http://ba2.win007.com/user/perinfo?userid=1175747, 
vsggg , 844560, 7, http://ba2.win007.com/user/perinfo?userid=844560, 
caofusheng , 1183037, 5, http://ba2.win007.com/user/perinfo?userid=1183037, 
littileboy , 1071729, 5, http://ba2.win007.com/user/perinfo?userid=1071729, 
kelin2037 , 1162453, 15, http://ba2.win007.com/user/perinfo?userid=1162453, 
专攻十三码 , 828698, 9, http://ba2.win007.com/user/perinfo?userid=828698, 
yangrui625 , 1151788, 6, http://ba2.win007.com/user/perinfo?userid=1151788, 
lianlianzj , 970140, 7, http://ba2.win007.com/user/perinfo?userid=970140, 
