title,lecturer,link,participants,live_class
什么是早泄？怎么办？,医生大鹏,https://www.zhihu.com/lives/916312578618171392,"6,570 人参与",医学健康
业余时间赚钱的6种策略,安晓辉,https://www.zhihu.com/lives/870704471959822336,"36,697 人参与",互联网
如何正确跟孩子谈「性」说爱,"中国科普博览, 胡半仙",https://www.zhihu.com/lives/826057084528394240,"14,969 人参与",心理学
如何从尬聊到亲密沟通？,五道口奥萨玛,https://www.zhihu.com/lives/897097999497437184,"81,922 人参与",心理学
女性如何健康有效的瘦腿？,万小歪Nikkie,https://www.zhihu.com/lives/819896922922950656,"11,480 人参与",体育
【大学那些事】如何拥有开挂的大学生活,"夜空守望者, 夜空守望你",https://www.zhihu.com/lives/909427975915716608,"14,781 人参与",教育
在亲密关系中的感到自卑怎么办？,清流,https://www.zhihu.com/lives/860219008262238208,"2,359 人参与",心理学
信用卡游戏的潜规则及用卡攻略,半佛仙人,https://www.zhihu.com/lives/860165089880330240,"22,887 人参与",金融经济
画面感与节奏：像拍电影一样写小说,马伯庸,https://www.zhihu.com/lives/785073978891829248,"9,247 人参与",阅读写作
为什么你戴眼镜不好看？,青崧,https://www.zhihu.com/lives/830092602421411840,"4,484 人参与",生活方式
体态和面部不对称的矫正,康复师 于老师,https://www.zhihu.com/lives/921691893006491648,"5,917 人参与",体育
高效阅读，如何构建知识地图？,胖子邓,https://www.zhihu.com/lives/837375053741068288,"7,754 人参与",阅读写作
根管治疗前你该知道的事,许桐楷,https://www.zhihu.com/lives/850711363683770368,"4,056 人参与",医学健康
工作狂如何养出好皮肤？,陈语岚,https://www.zhihu.com/lives/1005911510123651072,"73,267 人参与",生活方式
如何高效阅读英文文献？,毛羽立,https://www.zhihu.com/lives/800298223033028608,"2,772 人参与",教育
初次性生活的准备和事后功课,马虫 医生,https://www.zhihu.com/lives/989811253094866944,"4,594 人参与",生活方式
建立专属的时间管理系统,胖子邓,https://www.zhihu.com/lives/769214248550166528,"19,790 人参与",教育
如何科学地「看穿」别人？,窦泽南,https://www.zhihu.com/lives/863476704964931584,"1,803 人参与",心理学
上班压力大，如何自我调节？,Owl of Minerva,https://www.zhihu.com/lives/1006245895561703424,"73,130 人参与",生活方式
如何科学改善睡眠质量？,Andrew Xu,https://www.zhihu.com/lives/1006495331508445184,"73,784 人参与",生活方式
拒绝撞脸，如何找到适合自己的妆容？,"网易美学, 画皮相面的Bo君",https://www.zhihu.com/lives/927879717309272064,"73,332 人参与",生活方式
学术视角重读凯文 · 凯利《失控》,傅渥成,https://www.zhihu.com/lives/811193776486879232,"1,322 人参与",阅读写作
高度自律：为了高度自由,潘玥,https://www.zhihu.com/lives/835121024906432512,"17,206 人参与",生活方式
如何找到自己的「灵魂香」 ？,"网易美学, 广藿",https://www.zhihu.com/lives/927872120980144128,"73,559 人参与",生活方式
网红时代我们如何理性选择护肤品？,"网易美学, 胡晓波",https://www.zhihu.com/lives/927876522726027264,"73,708 人参与",生活方式
阅读资讯：信息的高效获取、科学处理,子不语,https://www.zhihu.com/lives/823241850671476736,"3,394 人参与",阅读写作
考研英语 80 分大冲刺,大郎神,https://www.zhihu.com/lives/876131851775922176,"9,234 人参与",教育
如何做到积极的沟通？,王怡蕊,https://www.zhihu.com/lives/837698997098541056,"1,729 人参与",心理学
考研政治 75 分大冲刺,大郎神,https://www.zhihu.com/lives/884100930079961088,"4,673 人参与",教育
越亲密越伤害：如何减少情绪互害，重塑亲密生活,清流,https://www.zhihu.com/lives/1000771982518067200,"73,252 人参与",生活方式
💡 经济学的思维方式 | 通识阅读 07,罗文益,https://www.zhihu.com/lives/795001824867418112,"3,738 人参与",阅读写作
雅思阅读 9 分备考指南,张永哲,https://www.zhihu.com/lives/848533834134880256,"8,401 人参与",教育
💡 世界宗教概览 | 通识阅读 11,罗文益,https://www.zhihu.com/lives/795005170965700608,"3,753 人参与",阅读写作
💡 文学与文化理论入门谈 | 通识阅读 10,罗文益,https://www.zhihu.com/lives/795003979921764352,"3,680 人参与",阅读写作
如何增加彼此的了解，做默契的情侣？,王怡蕊,https://www.zhihu.com/lives/1000769582855958528,"73,266 人参与",生活方式
马家辉：如何优质且高效地阅读,马家辉,https://www.zhihu.com/lives/979686441512681472,"1,046,600 人参与",阅读写作
你也能掌握的反套路写作技巧,朱炫,https://www.zhihu.com/lives/1008799465519599616,"1,371 人参与",艺术
整天看电脑，如何照顾好颈椎？,孙悦礼,https://www.zhihu.com/lives/1005909457716355072,"73,280 人参与",生活方式
异地恋：如何为爱情保鲜？,暗涌,https://www.zhihu.com/lives/1000774380787552256,"73,290 人参与",生活方式
如何摆脱病态亲密关系，建立真正的联结,冼艺哲Casper,https://www.zhihu.com/lives/1000767062762975232,"73,508 人参与",生活方式
如何挣脱亲密关系中的「漩涡」——成长创伤,朵拉陈,https://www.zhihu.com/lives/1000773469193289728,"73,167 人参与",生活方式
雅思口语4.5到9，我只做了这几件事,Ross,https://www.zhihu.com/lives/1000084737955905536,969 人参与,教育
一线程序员到技术总监的进阶指南,"100offer, 纯洁的微笑",https://www.zhihu.com/lives/1008002922151596032,256 人参与,互联网
💡 阅读的思想与方法 | 通识阅读 01,罗文益,https://www.zhihu.com/lives/794585946698973184,"4,567 人参与",阅读写作
年纪轻轻，脱发怎么办？,皮肤科徐宏俊医生,https://www.zhihu.com/lives/960577971924529152,"3,417 人参与",生活方式
如何开一家「赚钱」的咖啡馆？,赵珂僮,https://www.zhihu.com/lives/1010130720433582080,"3,635 人参与",商业
职场社会学答疑 Live ：如何成为职场中最受欢迎的人,方宏进,https://www.zhihu.com/lives/909480786921668608,"26,788 人参与",职业
詹俊：17-18 赛季独家深度盘点（免费）,评述员詹俊,https://www.zhihu.com/lives/976790018047627264,"28,522 人参与",体育
如何克服人际关系中的自卑感？,暗涌,https://www.zhihu.com/lives/860274001946251264,"3,445 人参与",心理学
帮你读懂《筑•居•思》,张志,https://www.zhihu.com/lives/843777697170755584,835 人参与,阅读写作
别让吵架磨平感情，如何有效沟通减少冲突,小轻,https://www.zhihu.com/lives/1000769411900391424,"73,165 人参与",生活方式
发展心理学：如何认识自己？,安慰记店长,https://www.zhihu.com/lives/824716774833557504,"3,361 人参与",心理学
如何建立和提升人际关系？,安慰记店长,https://www.zhihu.com/lives/827535969489129472,"2,164 人参与",心理学
重拾英语，如何制订适合自己的学习计划？,青格乐,https://www.zhihu.com/lives/1012443958273867776,371 人参与,教育
上班族如何正确「养胃」？,魏玮,https://www.zhihu.com/lives/1005907655046631424,"73,245 人参与",生活方式
如何远离恼人的牙周问题？,Zl Hao,https://www.zhihu.com/lives/1006246107940204544,"73,134 人参与",生活方式
【考研】普通二本夫妻共同高分逆袭C9,照玲,https://www.zhihu.com/lives/961570893780250624,"2,449 人参与",教育
过敏性鼻炎，不再烦恼,李鸿政,https://www.zhihu.com/lives/868111721926103040,"2,008 人参与",医学健康
告别不安：如何摆脱亲密关系中的过度焦虑,覃宇辉,https://www.zhihu.com/lives/1000766919321907200,"73,208 人参与",生活方式
意外失明后，我怎么学会编程并跟 BAT 程序员一起工作？,蔡勇斌,https://www.zhihu.com/lives/976832754595430400,"7,591 人参与",互联网
The Economist 深度阅读训练（一）,草头萃,https://www.zhihu.com/lives/870637311442976768,"1,997 人参与",阅读写作
如何克服恋爱中的嫉妒和猜忌？,安慰记店长,https://www.zhihu.com/lives/1000770881626324992,"73,300 人参与",生活方式
给孩子的性教育课 | 免费试听课,胡半仙,https://www.zhihu.com/lives/928678761120018432,"64,976 人参与",心理学
知乎校园「私享会」,"知乎校园, Sean Ye",https://www.zhihu.com/lives/1013486257128783872,414 人参与,职业
如何建立长久稳定的恋爱关系？,梁鸿儒,https://www.zhihu.com/lives/1000771975546978304,"73,315 人参与",生活方式
回望霍金：关于宇宙和科学他留下了什么,"李淼, 知乎大学小管家",https://www.zhihu.com/lives/957358881807056896,"71,191 人参与",科学技术
周国平：孤独对于生命有何价值,周国平,https://www.zhihu.com/lives/1010130798435065856,"16,850 人参与",生活方式
0 基础学插画：国际大师带你 1 小时入门,Viktoriia,https://www.zhihu.com/lives/1007679514159165440,778 人参与,生活方式
如何利用碎片化时间学好英语？,那天,https://www.zhihu.com/lives/1012445039976472576,324 人参与,教育
换位思维：如何知道别人在想什么？,叶修,https://www.zhihu.com/lives/995370527686524928,"1,553 人参与",教育
